line_number,filename,current_label,suggested_label,confidence
412,IMG_20260318_004821318_HDR.jpg,"Kensington Market alley (night, graffiti, posters)","Kensington Market alley (night, graffiti wall with posters, Nick Warren event poster visible)",low
413,IMG_20260318_004855840_HDR.jpg,"Kensington Market alley (night, graffiti, posters)","Kensington Market laneway garage (night, KAA/blue graffiti tag, snow on roof)",low
414,IMG_20260318_004907174_HDR.jpg,"Kensington Market alley (night, graffiti, posters)","Kensington Market alley wall (night, blue graffiti piece dated 2017)",low
415,IMG_20260318_004935920_HDR.jpg,"Kensington Market alley (night, graffiti, posters)","Kensington Market alley (night, graffiti doors with THE BUTCHER SHOPPE box, bins)",low
592,IMG_20260318_154117164_HDR.jpg,"Graffiti alley courtyard, rear ~190-194 Baldwin St/Augusta Ave","Graffiti alley courtyard, rear ~190-194 Baldwin St (geisha mural on right, yellow/green wall left)",medium
593,IMG_20260318_154120085_HDR.jpg,"Graffiti alley courtyard, rear ~190-194 Baldwin St","Graffiti alley courtyard, rear ~190-194 Baldwin St (rotated view, same courtyard)",medium
594,IMG_20260318_154129980_HDR.jpg,"Graffiti alley, rear ~190-194 Baldwin St (yellow/green wall)","Graffiti alley courtyard, rear ~190-194 Baldwin St (yellow/green wall, facing north)",medium
595,IMG_20260318_154138891_HDR.jpg,"Graffiti alley, rear ~190-194 Baldwin St (wider angle)","Graffiti alley courtyard, rear ~190-194 Baldwin St (wider angle, yellow/green wall + Adit Kumar sign visible)",medium
596,IMG_20260318_154147441_HDR.jpg,"Graffiti alley, rear ~192-196 Baldwin St (Adit Kumar sign)","Graffiti alley, rear ~192-196 Baldwin St (Adit Kumar financing sign clearly visible)",high
597,IMG_20260318_154157602_HDR.jpg,"Graffiti alley, rear ~192 Baldwin St (facing south)","Graffiti alley, rear ~190-194 Baldwin St (facing south, yellow/green wall + graffiti fence)",medium
598,IMG_20260318_154204175_HDR.jpg,"Graffiti alley, rear ~190-194 Baldwin St (wider angle south)","Graffiti alley, rear ~190-194 Baldwin St (wider angle south, yellow/green wall from behind fence)",medium
599,IMG_20260318_154218998_HDR.jpg,"Graffiti alley, rear ~188-192 Baldwin St (Odeto mural)","Graffiti alley, rear ~188-192 Baldwin St (Odeto mural + Adit Kumar sign on corner building)",high
600,IMG_20260318_154235800_HDR.jpg,"Graffiti alley, rear ~188-192 Baldwin St (Adit Kumar front)","Graffiti alley, rear ~190-194 Baldwin St (Adit Kumar financing sign front view, graffiti walls)",high
601,IMG_20260318_154249040_HDR.jpg,"Graffiti alley, rear ~190 Baldwin St (yellow wall, puddles)","Graffiti alley courtyard, rear ~190-194 Baldwin St (yellow/green wall, Adit Kumar sign in distance)",medium
602,IMG_20260318_154253193_HDR.jpg,"Graffiti alley, rear ~190 Baldwin St","Graffiti alley courtyard, rear ~190-194 Baldwin St (same as 601, slightly wider)",medium
603,IMG_20260318_154302641_HDR.jpg,"Graffiti alley, looking south (geisha mural in distance)","Graffiti alley, looking south toward Augusta Ave (geisha mural visible, fire escapes on right)",medium
604,IMG_20260318_154314376_HDR.jpg,"Graffiti alley, looking south (cyclist at far end)","Graffiti alley, looking south (cyclist at far end, Adit Kumar sign visible, yellow/green wall left)",medium
605,IMG_20260318_154340244_HDR.jpg,"Graffiti alley, Odeto mural close-up (Proverbs 31:28-29)","Graffiti alley, Odeto mural close-up (Proverbs 31:28-29 text visible)",high
606,IMG_20260318_154352692_HDR.jpg,"Graffiti alley, rear ~186-188 Baldwin St (abstract mural)","Rear ~71-75 Oxford St / graffiti alley (NO EXIT sign, colorful graffiti behind chain-link fence)",medium
610,IMG_20260318_154439003_HDR.jpg,"Alley exit toward Nassau St (tropical mural garage, houses behind)","Alley exit toward Nassau St (tropical/floral mural on garage, houses visible behind)",medium
