line_number,filename,current_label,suggested_label,confidence
409,IMG_20260317_194010516_HDR.jpg,"79 Baldwin St (Culture Boutique / Golden Gate Ltd., bailiff notice)",KEEP,high
416,IMG_20260318_131935172_HDR.jpg,"Kensington Market area (indoor, field notes)",KEEP,high
432,IMG_20260318_142013766_HDR.jpg,Augusta Ave,~248-252 Augusta Ave (colorful balconies building),medium
433,IMG_20260318_142025062_HDR.jpg,Augusta Ave,~299-301 Augusta Ave (brick semi with green awning),medium
434,IMG_20260318_142032983_HDR.jpg,Augusta Ave,~299-301 Augusta Ave (brick semi with green awning - detail),medium
435,IMG_20260318_142045898_HDR.jpg,Augusta Ave,~303 Augusta Ave (Taco Taco),medium
436,IMG_20260318_142054814_HDR.jpg,Augusta Ave,~248 Augusta Ave (Samesun Hostel),high
437,IMG_20260318_142105931_HDR.jpg,Augusta Ave,~248 Augusta Ave (Samesun Hostel),high
438,IMG_20260318_142108112_HDR.jpg,Augusta Ave,~248 Augusta Ave (Samesun Hostel),high
439,IMG_20260318_142118334_HDR.jpg,Augusta Ave,~248-252 Augusta Ave (Samesun Hostel wider with Delta Elevator van),medium
440,IMG_20260318_142129630_HDR.jpg,Augusta Ave,~295 Augusta Ave (T.O. Dickens Restaurant),high
441,IMG_20260318_142139406_HDR.jpg,Augusta Ave,Augusta Ave (yellow brick house detail),low
443,IMG_20260318_142158621_HDR.jpg,Augusta Ave,~246 Augusta Ave (Restaurant Ltd. with sunflower decorations),medium
444,IMG_20260318_142206496_HDR.jpg,Augusta Ave,~246 Augusta Ave (Restaurant Ltd. with sunflower decorations - wider),medium
445,IMG_20260318_142215917_HDR.jpg,Augusta Ave,~293 Augusta Ave (Bikes on Wheels - sales service and repair),high
446,IMG_20260318_142225392_HDR.jpg,~297 Augusta Ave (wall/poster detail),KEEP,medium
447,IMG_20260318_142229531.jpg,~297 Augusta Ave (wall/poster detail),KEEP,medium
448,IMG_20260318_142239273_HDR.jpg,268 Augusta Ave (Supermarket Bar and Variety),~297 Augusta Ave (wall/concrete texture detail),medium
449,IMG_20260318_142249679_HDR.jpg,268 Augusta Ave (Supermarket Bar and Variety),~297 Augusta Ave (wall/concrete texture detail),medium
450,IMG_20260318_142254955_HDR.jpg,268 Augusta Ave (Supermarket Bar and Variety),~297 Augusta Ave (torn poster detail on wall),medium
469,IMG_20260318_142624822_HDR.jpg,pole texture,~295 Augusta Ave (beige/pink building with Kensington sign),medium
470,IMG_20260318_142637039_HDR.jpg,293 Augusta Ave (The Arch Cafe/Bar),~293 Augusta Ave (blue building with string lights),medium
483,IMG_20260318_145005054_HDR.jpg,"Augusta Ave (Welcome to Kensington mural, La Cevicheria, Romeo's)",~285 Augusta Ave (Welcome to Kensington mural / La Cevicheria / Romeo's),high
517,IMG_20260318_151816648_HDR.jpg,"Kensington Market area (vacant lot, graffiti, near Dundas/Spadina)",KEEP,medium
523,IMG_20260318_152140663_HDR.jpg,Rear lane behind Baldwin/Augusta (RICKY mural),Rear lane behind Baldwin/Augusta (graffiti on pipe/fence detail),low
524,IMG_20260318_152321300_HDR.jpg,Rear lane behind Baldwin/Augusta (RICKY mural),Rear lane behind Baldwin/Augusta (flower mural on garage),medium
525,IMG_20260318_152330797_HDR.jpg,Rear lane behind Baldwin/Augusta (RICKY mural),Rear lane behind Baldwin/Augusta (pink flower mural on garage),medium
526,IMG_20260318_152340182_HDR.jpg,Rear lane behind Baldwin/Augusta (RICKY mural),Rear lane behind Baldwin/Augusta (RICKY mural with character),high
