Kensington Market Fieldwork Punch List
Study area: inside Dundas / Bathurst / College / Spadina
Perimeter-side rule: Dundas north side, Bathurst east side, College south side, Spadina west side

- Bathurst St: highest priority; type=perimeter; target side=east side only; labeled photos=0; latest=none; no explicit Bathurst market-side photos in current set
- College St: highest priority; type=perimeter; target side=south side only; labeled photos=2; latest=2026-03-16; only corner-area shots; no real south-side market-edge pass
- Carlyle St: high priority; type=interior; target side=both sides; labeled photos=0; latest=none; street appears inside study area but has no explicit labeled photo pass
- Casimir St: high priority; type=interior; target side=both sides; labeled photos=0; latest=none; street appears inside study area but has no explicit labeled photo pass
- Denison Ave: high priority; type=interior; target side=both sides; labeled photos=0; latest=none; street appears inside study area but has no explicit labeled photo pass
- Fitzroy Ter: high priority; type=interior; target side=both sides; labeled photos=0; latest=none; street appears inside study area but has no explicit labeled photo pass
- Hickory St: high priority; type=interior; target side=both sides; labeled photos=0; latest=none; street appears inside study area but has no explicit labeled photo pass
- Kensington Pl: high priority; type=interior; target side=both sides; labeled photos=0; latest=none; street appears inside study area but has no explicit labeled photo pass
- Leonard Ave: high priority; type=interior; target side=both sides; labeled photos=0; latest=none; street appears inside study area but has no explicit labeled photo pass
- Leonard Pl: high priority; type=interior; target side=both sides; labeled photos=0; latest=none; street appears inside study area but has no explicit labeled photo pass
- Lippincott St: high priority; type=interior; target side=both sides; labeled photos=0; latest=none; street appears inside study area but has no explicit labeled photo pass
- Spadina Ave: high priority; type=perimeter; target side=west side only; labeled photos=83; latest=2026-03-16; many labels exist, but side-of-street is not cleanly verified and coverage is area-heavy
- St Andrew St: high priority; type=interior; target side=both sides; labeled photos=0; latest=none; street appears inside study area but has no explicit labeled photo pass
- Wales Ave: high priority; type=interior; target side=both sides; labeled photos=0; latest=none; street appears inside study area but has no explicit labeled photo pass
- Kensington Ave: medium priority; type=interior; target side=both sides; labeled photos=1; latest=2026-03-18; only sparse mentions; likely incomplete street pass
- Augusta Ave: low priority; type=interior; target side=both sides; labeled photos=174; latest=2026-03-19; already has meaningful labeled coverage
- Baldwin St: low priority; type=interior; target side=both sides; labeled photos=53; latest=2026-03-18; already has meaningful labeled coverage
- Bellevue Ave: low priority; type=interior; target side=both sides; labeled photos=31; latest=2026-03-18; already has meaningful labeled coverage
- Dundas St W: low priority; type=perimeter; target side=north side only; labeled photos=159; latest=2026-03-20; already has meaningful labeled coverage
- Nassau St: low priority; type=interior; target side=both sides; labeled photos=33; latest=2026-03-18; already has meaningful labeled coverage
- Oxford St: low priority; type=interior; target side=both sides; labeled photos=77; latest=2026-03-18; already has meaningful labeled coverage
