filename,address_or_location,source
IMG_20260315_133109310_HDR.jpg,Dundas St W & Spadina Ave area (Fund Healthcare poster),confirmed
IMG_20260315_145714579_HDR.jpg,"St Stephen-in-the-Fields Church, Bellevue Ave",confirmed
IMG_20260315_145720484_HDR.jpg,"No. 8 Hose Station, Bellevue Ave",confirmed
IMG_20260315_145744359_HDR.jpg,"No. 8 Hose Station, Bellevue Ave",confirmed
IMG_20260315_145746993_HDR.jpg,"No. 8 Hose Station area, Bellevue Ave",confirmed
IMG_20260315_145758658_HDR.jpg,"Brick detail, Bellevue Ave area",confirmed
IMG_20260315_150049808_HDR.jpg,Kensington Community School area,confirmed
IMG_20260315_150058951_HDR.jpg,Kensington Community School area,confirmed
IMG_20260315_150401668_HDR.jpg,Kensington school area,confirmed
IMG_20260315_150419479_HDR.jpg,Kensington school area,confirmed
IMG_20260315_150818604_HDR.jpg,"Oxford St, Keith Haring mural garage",confirmed
IMG_20260315_151041839_HDR.jpg,Oxford St area (dark photo),confirmed
IMG_20260315_151059803_HDR.jpg,"Modern house, Oxford St area",confirmed
IMG_20260315_151108534_HDR.jpg,Oxford St area,confirmed
IMG_20260315_151152484_HDR.jpg,"Oxford St, near 110",confirmed
IMG_20260315_151208900_HDR.jpg,"Oxford St, row houses",confirmed
IMG_20260315_151417390_HDR.jpg,Oxford St residential,confirmed
IMG_20260315_151559547_HDR.jpg,"Brick close-up, Oxford St",confirmed
IMG_20260315_151608214_HDR.jpg,"Garage, Oxford St alley",confirmed
IMG_20260315_151721468_HDR.jpg,"Graffiti garages, Oxford St alley",confirmed
IMG_20260315_151736379_HDR.jpg,"Pink house rear, alley",confirmed
IMG_20260315_151745774_HDR.jpg,"Garages with graffiti, alley",confirmed
IMG_20260315_151752760_HDR.jpg,"Garages with graffiti, alley",confirmed
IMG_20260315_151818169_HDR.jpg,"Alley/parking, near Toronto Western Hospital",confirmed
IMG_20260315_151822687_HDR.jpg,"Graffiti wall, alley",confirmed
IMG_20260315_151834889_HDR.jpg,Alley with caution tape,confirmed
IMG_20260315_151838297_HDR.jpg,Alley area,confirmed
IMG_20260315_151848298_HDR.jpg,Brick close-up,confirmed
IMG_20260315_151857595_HDR.jpg,Alley view,confirmed
IMG_20260315_152000297_HDR.jpg,"Red brick church, near Oxford St",confirmed
IMG_20260315_152112005_HDR.jpg,Toronto Western Hospital parking garage,confirmed
IMG_20260315_152115386_HDR.jpg,Toronto Western Hospital parking garage,confirmed
