filename,address_or_location,source
IMG_20260315_133109310_HDR.jpg,Dundas St W & Spadina Ave area (Fund Healthcare poster),confirmed
IMG_20260315_145714579_HDR.jpg,"St Stephen-in-the-Fields Church, Bellevue Ave",confirmed
IMG_20260315_145720484_HDR.jpg,Toronto Fire Station 315,confirmed
IMG_20260315_145744359_HDR.jpg,Toronto Fire Station 315,confirmed
IMG_20260315_145746993_HDR.jpg,Toronto Fire Station 315,confirmed
IMG_20260315_145758658_HDR.jpg,Toronto Fire Station 315,confirmed
IMG_20260315_150049808_HDR.jpg,Toronto Fire Station 315,confirmed
IMG_20260315_150058951_HDR.jpg,Kensington Kids Early Learning Centre,confirmed
IMG_20260315_150250031_HDR.jpg,Kensington Kids Early Learning Centre,confirmed
IMG_20260315_150257259_HDR.jpg,Kensington Kids Early Learning Centre,confirmed
IMG_20260315_150320317_HDR.jpg,242 (Kensington school area),confirmed
IMG_20260315_150353013_HDR.jpg,Kensington Kids Early Learning Centre,confirmed
IMG_20260315_150355853_HDR.jpg,Kensington Kids Early Learning Centre,confirmed
IMG_20260315_150401668_HDR.jpg,Kensington Kids Early Learning Centre,confirmed
IMG_20260315_150419479_HDR.jpg,Kensington Kids Early Learning Centre,confirmed
IMG_20260315_150818604_HDR.jpg,"43.656019, -79.404843, Keith Haring mural garage",confirmed
IMG_20260315_151041839_HDR.jpg,Oxford St area (dark photo),confirmed
IMG_20260315_151059803_HDR.jpg,98 Oxford St,confirmed
IMG_20260315_151108534_HDR.jpg,100 Oxford St,confirmed
IMG_20260315_151121824_HDR.jpg,110 Oxford St,confirmed
IMG_20260315_151130882_HDR.jpg,110 Oxford St (119 on green bin),confirmed
IMG_20260315_151152484_HDR.jpg,108-102 Oxford St,confirmed
IMG_20260315_151208900_HDR.jpg,102-98 Oxford St,confirmed
IMG_20260315_151351421_HDR.jpg,112 Oxford St area (brick duplex),confirmed
IMG_20260315_151417390_HDR.jpg,116 Oxford St,confirmed
IMG_20260315_151559547_HDR.jpg,"Brick close-up, Oxford St",confirmed
IMG_20260315_151608214_HDR.jpg,"43.655451, -79.405453, Oxford St alley",confirmed
IMG_20260315_151635829_HDR.jpg,"19 (garage), Oxford St alley",confirmed
IMG_20260315_151721468_HDR.jpg,"43.655252, -79.405385 Oxford St alley",confirmed
IMG_20260315_151736379_HDR.jpg,"Lane East Lippincott North Nassau 43.655172, -79.405337",confirmed
